text,labels
Admission Date :,O O O 
2012-10-31,O 
Discharge Date :,O O O 
2012-11-07,O 
Date of Birth :,O O O O 
1941-03-23,O 
Sex : ,O O 
M,O 
Service :,O O 
MEDICINE,O 
Allergies : ,O O 
Nsaids/Anti-Inflammatory Classifier / Vancomycin,B-TR I-TR O B-TR 
Attending : ,O O 
"Kristie R. Hamby , M.D. ",O O O O O 
Chief Complaint :,O O O 
"CC : Antonio M. Z. Eddings , M.D. ",O O O O O O O O 
Major Surgical or Invasive Procedure :,O O O O O O 
Mesenteric angiograpm w/ coil embolization of bleeding vessel .,B-TE I-TE O B-TR I-TR O B-PR I-PR O 
Sigmoidoscopy .,B-TE O 
Colonoscopy .,B-TE O 
History of Present Illness :,O O O O O 
"HPI: Pt is a 71 y/o male with h/o dm2 , cad s/p cabg , DVT/PE on long term anti-coagulation , ulcerative colitis on Asacol presents with brbpr starting at 9am of the morning of admission .",O O O O O O O O O B-PR O B-PR O B-TR O B-PR O B-TR I-TR I-TR O B-PR I-PR O B-TR O O B-PR O O O O O O O O O 
"He 'd been having lower abdominal pain for approximately the past week , a symptom for which he 's been admitted in the past .",O O O O B-PR I-PR I-PR O O O O O O B-PR I-PR O O O O O O O O O O 
His PCP had recently started ciprofloxacin for a UTI . ,O O O O O B-TR O B-PR I-PR O 
"At 9am the morning of admission he passed a large , bloody bowel movement and came to the Michael . There , his vitals were intially stable with a hct of 36.7 , though he was felt to be hypovolemic and this hemoconcentrated ; his previous hct was 39 about five months ago .",O O O O O O O O B-PR I-PR I-PR I-PR I-PR I-PR O O O O O O O O B-TE I-TE O O O O B-TE I-TE O O O O O O O O O B-PR O O B-PR O B-TE I-TE I-TE O O O O O O O 
He refused an NG lavage .,O O B-TR I-TR I-TR O 
"Although an initial DRE showed only clot , he later passed a large , bloody bowel movement , and his bp nadired to the low 90's but rested there only transiently and easily rebounded to the 130's-140's with fluid ; he then went to angiography for a tagged RBC scan where they found and embolized two vessels to the sigmoid colon .",O B-TE I-TE I-TE O O B-PR O O O O B-PR I-PR I-PR I-PR I-PR I-PR O O B-TE I-TE O O O O O O O O O O O O O O O O O B-TR O O O O O O O B-TE I-TE I-TE I-TE O O O O O O O O O O O O 
His HCT had dropped from 36.7 to 30.8 despite 2U PRBC and 3 U FFP .,B-TE I-TE O O O O O O O B-TR I-TR O B-TR I-TR I-TR O 
Is called out of the FICU as has been been HD and stable HCT .,O O O O O O O O O O O O O B-TE O 
"Currently denies CP , SOB , abd pain or continued BRBPR .",O O B-PR O B-PR O B-PR I-PR O B-PR I-PR O 
Past Medical History :,O O O O 
PMH :,O O 
1.) DM-2  ,O B-PR O 
2.) CAD s/p 3v-CABG 2003 and subsequent stenting of SVG and LIMA,O B-PR O B-TR O O O B-TR O B-TR O O 
3.) CHF with EF 30-35% on 07-10 echo,O B-PR O B-TE O O O B-TE 
4.) Right parietal intracranial bleeding following 1996 cardiac cath,O B-PR I-PR I-PR I-PR O O B-TE I-TE 
5.) LBBB,O B-PR 
6.) Sinus node dysfunction s/p pacemaker,O B-PR I-PR I-PR O B-TR 
"7.) H/O DVT ( right sided ) and subsequent PE , put onto lifetime warfarin",O O B-PR O O O O O O B-PR O O O O B-TR 
8.) Ulcerative colitis,O B-PR I-PR 
PSH :,O O 
1.) C4-7 anterior discectomies,O B-TR I-TR I-TR 
2.) CABG 2003,O B-TR O 
3.) R intracerebral hemorrhage drainage ,O B-TR I-TR I-TR I-TR 
Social History :,O O O 
SocHx : Mr Peres generally lives with his wife but has spent a great deal of time recently at rehab .,O O O O O O O O O O O O O O O O O O O B-TR O 
He has no h/o ETOH/IVDA but quit tob 15 years ago .,O O O O O O O O O O O O 
Family History :,O O O 
Noncontributory . ,O O 
Physical Exam :,O O O 
"VS 98.4 , 62 , 103/37 , 15 97%2L",B-TE O O O O O O O O 
"gen - lying in bed , NAD",O O O O O O B-PR 
"heent - anicteric sclera , op clear with mmm",O O B-PR I-PR O O O O O 
neck - jvd flat,O O B-PR O 
"cv - rrr , s1s2 , no m/r/g",O O O O O O O B-PR 
