text,labels
Admission,O
Date,O
:,O

2012-10-31,O

Discharge,O
Date,O
:,O

2012-11-07,O

Date,O
of,O
Birth,O
:,O

1941-03-23,O

Sex,O
:,O

M,O

Service,O
:,O

MEDICINE,O

Allergies,O
:,O

Nsaids/Anti-Inflammatory,B-TR
Classifier,I-TR
/,O
Vancomycin,B-TR

Attending,O
:,O

Kristie,O
R.,O
Hamby,O
",",O
M.D.,O

Chief,O
Complaint,O
:,O

CC,O
:,O
Antonio,O
M.,O
Z.,O
Eddings,O
",",O
M.D.,O

Major,O
Surgical,O
or,O
Invasive,O
Procedure,O
:,O

Mesenteric,B-TE
angiograpm,I-TE
w/,O
coil,B-TR
embolization,I-TR
of,O
bleeding,B-PR
vessel,I-PR
.,O

Sigmoidoscopy,B-TE
.,O

Colonoscopy,B-TE
.,O

History,O
of,O
Present,O
Illness,O
:,O

HPI:,O
Pt,O
is,O
a,O
71,O
y/o,O
male,O
with,O
h/o,O
dm2,B-PR
",",O
cad,B-PR
s/p,O
cabg,B-TR
",",O
DVT/PE,B-PR
on,O
long,B-TR
term,I-TR
anti-coagulation,I-TR
",",O
ulcerative,B-PR
colitis,I-PR
on,O
Asacol,B-TR
presents,O
with,O
brbpr,B-PR
starting,O
at,O
9am,O
of,O
the,O
morning,O
of,O
admission,O
.,O

He,O
'd,O
been,O
having,O
lower,B-PR
abdominal,I-PR
pain,I-PR
for,O
approximately,O
the,O
past,O
week,O
",",O
a,B-PR
symptom,I-PR
for,O
which,O
he,O
's,O
been,O
admitted,O
in,O
the,O
past,O
.,O

His,O
PCP,O
had,O
recently,O
started,O
ciprofloxacin,B-TR
for,O
a,B-PR
UTI,I-PR
.,O

At,O
9am,O
the,O
morning,O
of,O
admission,O
he,O
passed,O
a,B-PR
large,I-PR
",",I-PR
bloody,I-PR
bowel,I-PR
movement,I-PR
and,O
came,O
to,O
the,O
Michael,O
.,O
There,O
",",O
his,B-TE
vitals,I-TE
were,O
intially,O
stable,O
with,O
a,B-TE
hct,I-TE
of,O
36.7,O
",",O
though,O
he,O
was,O
felt,O
to,O
be,O
hypovolemic,B-PR
and,O
this,O
hemoconcentrated,B-PR
;,O
his,B-TE
previous,I-TE
hct,I-TE
was,O
39,O
about,O
five,O
months,O
ago,O
.,O

He,O
refused,O
an,B-TR
NG,I-TR
lavage,I-TR
.,O

Although,O
an,B-TE
initial,I-TE
DRE,I-TE
showed,O
only,O
clot,B-PR
",",O
he,O
later,O
passed,O
a,B-PR
large,I-PR
",",I-PR
bloody,I-PR
bowel,I-PR
movement,I-PR
",",O
and,O
his,B-TE
bp,I-TE
nadired,O
to,O
the,O
low,O
90's,O
but,O
rested,O
there,O
only,O
transiently,O
and,O
easily,O
rebounded,O
to,O
the,O
130's-140's,O
with,O
fluid,B-TR
;,O
he,O
then,O
went,O
to,O
angiography,O
for,O
a,B-TE
tagged,I-TE
RBC,I-TE
scan,I-TE
where,O
they,O
found,O
and,O
embolized,O
two,O
vessels,O
to,O
the,O
sigmoid,O
colon,O
.,O

His,B-TE
HCT,I-TE
had,O
dropped,O
from,O
36.7,O
to,O
